texto,categoria
alura,Educação
Curso de enem 80.10,Educação
comprei suco,Alimentação
assinatura do Shein,Assinaturas
paguei micro-ondas,Casa
99 de volta 500,Transporte
SAÍDA,Lazer
COMPREI MULTA,Outros
assinatura do Norton,Assinaturas
micro-ondas,Casa
"espetinho no supermercado 250,00",Alimentação
açaí no lanchonete,Alimentação
cobrou NordVPN,Assinaturas
ESTACIONEI DE VOLTA,Transporte
COMPREI BOLSA,Vestuário
reforma R$180,Casa
conserto,Casa
"camisa na shopping R$99,10",Vestuário
jardinagem,Casa
"Certificação r$80,80",Educação
"Compras da semana r$ 99,90",Alimentação
festa com a família,Lazer
"feira do mês r$ 14,70",Alimentação
"remédio da terapeuta R$ 24,20",Saúde
paguei doutorado 15,Educação
gasto com caridade,Outros
Fotografia 95.75,Lazer
"viagem para outro estado R$120,30",Lazer
paguei conserto,Outros
"MATERIAL DE CONSTRUÇÃO 140,70",Casa
plano headspace,Assinaturas
óculos de sol na H&M,Vestuário
compras do mês,Alimentação
"compras da semana R$ 60,99",Alimentação
"paguei manutenção 15,70",Outros
coturnos na H&M,Vestuário
assinatura do Amazon Prime Video 5.10,Assinaturas
ALMOCEI NO SHOPPING,Alimentação
FUI AO BRINQUEDO,Lazer
"mensalidade suplemento R$ 12,25",Saúde
assinei cinema,Lazer
material de curso,Educação
comprei empréstimo,Outros
AULA DE WORKSHOP,Educação
"compras de roupa 100,80",Vestuário
saída 60.80,Lazer
COMPREI ELETRODOMÉSTICO,Casa
"plano anual OneDrive R$8,90",Assinaturas
Disney+ com a família 70.50,Lazer
cartão de transporte 200 reais,Transporte
"Roupas r$65,40",Vestuário
conserto para cha de bebe,Outros
reforma 800 reais,Casa
loja de roupa,Vestuário
fui na médico,Saúde
camiseta na outlet 80,Vestuário
mensalidade internet,Assinaturas
"COMPREI REVISTA R$149,90",Lazer
"delivery sorvete 139,10",Alimentação
"compras de roupa 8,80",Vestuário
"Receita médica r$60,99",Saúde
comprei sunga na outlet 19.30,Vestuário
"mensalidade curso online R$ 40,10",Educação
roupas,Vestuário
anuidade cartao do mes 70.40,Outros
INGLÊS 5.40,Educação
material de prova,Educação
comprei salgado,Alimentação
eletrônico do mês,Outros
"honorário 85,99",Outros
"material de evento profissional r$ 100,30",Educação
paguei a pilates 12 reais,Saúde
delivery salgado,Alimentação
Renovação headspace,Assinaturas
"comprei reforma 35,25",Casa
hostel,Lazer
cobrou clube de assinatura,Assinaturas
corrida de diesel 89.60,Transporte
mensalidade mensalidade academia,Saúde
netflix com amigos 90,Lazer
abasteci o carro,Transporte
"assinei caneta R$47,25",Educação
paguei seguro residencial 120.99,Casa
"ROUPAS R$ 12,10",Vestuário
Supermercado,Alimentação
"hospedagem R$130,60",Lazer
COMPREI ANTIBIÓTICO 50,Saúde
jaqueta na Renner,Vestuário
PET SHOP,Outros
"calça R$ 70,10",Vestuário
"renovei Nintendo Online 47,60",Assinaturas
estacionei R$ 300,Transporte
Presente pra natal,Outros
conserto 39.40,Casa
"assinei festa R$30,30",Lazer
"chinelo na Zara R$ 80,50",Vestuário
matricula no curso,Educação
HBO Max R$180,Assinaturas
"sessão de cinema R$90,75",Lazer
comprei professor particular R$ 45,Educação
frango,Alimentação
"Boleto de jardineiro 70,00",Casa
WORKSHOP R$35,Educação
mensalidade material escolar,Educação
mercado r$ 800,Alimentação
matrícula R$ 40,Educação
Adobe Creative Cloud 49.60,Assinaturas
diversão,Lazer
CURSO DE FISK,Educação
Matrícula,Educação
BOLETO DE TELHADO 24.90,Casa
"almocei no mall R$59,40",Alimentação
"Saída 75,80",Lazer
compras do mês,Alimentação
"Material de construção r$150,90",Casa
açaí no padaria,Alimentação
despesa com dizimo 70.40,Outros
abasteci o carro 250,Transporte
assinatura do YouTube Music,Assinaturas
abasteci 12.90,Transporte
comprei Under Armour 139.25,Vestuário
comprei brinco,Vestuário
lanche da tarde,Alimentação
comprei camiseta,Vestuário
"roupas 19,60",Vestuário
"mensalidade escola de idiomas r$ 55,50",Educação
Reforma,Casa
curso de apostila R$ 10,Educação
"material de construção R$ 27,60",Casa
mototáxi de volta R$45,Transporte
BlaBlaCar pro trabalho,Transporte
comprei gravata,Vestuário
emprestimo para aniversario R$ 18,Outros
pet para formatura,Outros
"paguei inglês R$40,99",Educação
Assinei faculdade particular 129.70,Educação
eletricista,Casa
Hotel 80,Lazer
MANUTENÇÃO DA SEGURO DA CASA 12,Casa
carona pra casa,Transporte
Curso de inglês 12 reais,Educação
"loja de roupa r$90,20",Vestuário
certificação 55.70,Educação
computador do mês,Outros
"fim de semana R$27,30",Lazer
comprei consulta dentista,Saúde
comprei regua,Educação
"Rancho r$ 79,70",Alimentação
"Rodovia de volta 8,40",Transporte
Comprei h&m,Vestuário
extração,Saúde
paguei faculdade particular,Educação
Fisioterapeuta mensal 90.25,Saúde
DESPESA COM ANUIDADE 55.75,Outros
COMPREI BERMUDA R$2500,Vestuário
yoga,Saúde
Par de pijama r$150,Vestuário
"comprei régua R$80,99",Educação
pintura,Casa
"mensalidade da terapeuta 47,30",Saúde
anuidade Illustrator 180,Assinaturas
marmita no mall,Alimentação
"roupas R$27,90",Vestuário
plano mensal ExpressVPN 55.25,Assinaturas
comprei jardinagem,Casa
Vivo,Assinaturas
"reforma R$129,80",Casa
"abasteci 65,10",Transporte
motofrete,Transporte
workshop 17.80,Educação
"mensalidade consulta médica 100,80",Saúde
compras de roupa 30.60,Vestuário
fui ao videogame,Lazer
Mensalidade hbo max,Assinaturas
"comprei moletom na shopping r$110,80",Vestuário
"conta de luz mensal R$69,20",Casa
JANTAR NO MALL,Alimentação
"par de chinelo 75,70",Vestuário
EXAME NO LABORATÓRIO 5.25,Saúde
peguei trem,Transporte
patinete pro trabalho,Transporte
Diversão,Lazer
presente pra chá de bebê,Outros
"saída R$19,80",Lazer
comprei taxa bancária 39.40,Outros
bone novo 89.30,Vestuário
almocei no mercado,Alimentação
matrícula no curso 17.25,Educação
troca de óleo 69.10,Transporte
mensalidade protetor solar 20.30,Saúde
Plano deezer 50.40,Assinaturas
"certificação R$ 250,00",Educação
"telefone fixo do mês R$ 350,00",Casa
renovação plano móvel,Assinaturas
assinei inglês R$ 180,Educação
manutenção da eletricista 89.50,Casa
polo,Vestuário
comprei pomada,Saúde
Claro TV,Casa
"Comprei cortina r$ 80,00",Casa
"Amazon Prime com amigos 150,40",Lazer
"Sky para a casa R$ 8,50",Casa
comprei seguro da casa R$30,Casa
BOLETO DO NET,Casa
renovaçao Oi 100.75,Assinaturas
coxinha,Alimentação
HOSPEDAGEM R$120,Lazer
fui na óculos,Saúde
abasteci o carro R$80,Transporte
Supermercado,Alimentação
Comprei presente de aniversário,Outros
renovei Amazon Prime,Assinaturas
pneu da semana,Transporte
calça,Vestuário
receita médica 80.40,Saúde
almocei no food truck,Alimentação
assinatura do plano de internet,Assinaturas
assinei webinar 35.99,Educação
"paguei crm r$37,25",Educação
boleto do aluguel 35.90,Casa
pedi feijão no delivery,Alimentação
turismo,Lazer
"estacionamento R$ 120,60",Transporte
PAPELARIA IMPREVISTO R$ 12,Outros
"Roupas r$ 15,75",Vestuário
fim de semana,Lazer
"comprei moletom na Renner 149,10",Vestuário
compras da semana 8 reais,Alimentação
e-book com a familia,Lazer
Locadora r$50,Transporte
"Renovei netflix r$ 129,50",Assinaturas
"Jantei fora r$22,99",Alimentação
musculação da semana,Saúde
fui na médico,Saúde
paguei pet shop,Outros
"saída 70,75",Lazer
"clínica mensal 22,90",Saúde
"ingresso pro playstation r$ 1500,00",Lazer
fui na musculação,Saúde
COMPREI PLANTAS,Casa
taxa bancária para natal,Outros
Comprei estádio r$18,Lazer
IR 149.20,Outros
plano anual amazon prime 110.25,Assinaturas
SANDÁLIA,Vestuário
"Certificação r$ 29,70",Educação
compras da semana 49.50,Alimentação
mensalidade da quiropraxia,Saúde
ASSINATURA AMAZON,Assinaturas
"MATERIAL DE ALURA R$ 12,00",Educação
"plano Google One R$ 600,00",Assinaturas
"estacionamento R$ 139,60",Transporte
taxa para cha de bebe R$ 600,Outros
comprei carregador,Outros
comprei clinica,Saúde
meia na Renner,Vestuário
Yellow,Transporte
mercado,Alimentação
renovação box mensal,Assinaturas
transferencia do mes,Outros
certificado R$70,Educação
"taxa bancária do mês 35,30",Outros
peguei valet,Transporte
"gasolina 90,25",Transporte
"comprei presente de aniversario R$30,30",Outros
peguei avião,Transporte
"assinei reforço escolar 70,40",Educação
Comprei energia,Casa
joia novo,Vestuário
anel novo 12 reais,Vestuário
paguei NET R$ 80,Casa
emprestei dinheiro,Outros
Comprei whey,Saúde
cartao de transporte da semana,Transporte
"MATERIAL DE CONSTRUÇÃO R$ 9,30",Casa
saque R$70,Outros
"supermercado R$ 95,80",Alimentação
"consulta com consulta medica 75,10",Saúde
matrícula no curso 40 reais,Educação
OAB,Educação
japonês no mall,Alimentação
estacionei,Transporte
revisão do carro 30.50,Transporte
paguei faxineira,Casa
comprei brigadeiro,Alimentação
comprei remédio pet,Outros
viagem para interior,Lazer
"loja de roupa R$79,20",Vestuário
almocei no lanchonete,Alimentação
"feira do mês 12,70",Alimentação
PRESENTE DE NATAL PARA NATAL,Outros
moletom na Renner 42.60,Vestuário
cartório para chá de bebê,Outros
"entretenimento R$ 12,00",Lazer
almocei no praça de alimentação R$ 40,Alimentação
"jantei fora 5,00",Alimentação
conserto,Casa
gasto com doação 55.20,Outros
"mensalidade da curso online 75,40",Educação
paintball,Lazer
"workshop 24,50",Educação
analises clinicas,Saúde
Comprei reparo,Outros
fui na mensalidade plano,Saúde
lingerie na C&A,Vestuário
material de escola de idiomas 27.40,Educação
pedágio de volta,Transporte
boleto do aluguel 5 reais,Casa
reforma,Casa
cafe da manha no praça de alimentaçao,Alimentação
boleto de TV por assinatura,Casa
COBROU FIGMA,Assinaturas
MANUTENÇÃO 79.40,Casa
"Anuidade xbox game pass r$ 15,25",Assinaturas
"paguei luminária 95,25",Casa
almocei no boteco,Alimentação
"DIVERSÃO R$ 79,60",Lazer
"paguei apostila R$ 85,99",Educação
"mercado R$39,25",Alimentação
"viagem para litoral R$139,99",Lazer
"consulta com academia 40,00",Saúde
"Fui na médico r$ 15,25",Saúde
paguei registro,Outros
Imposto,Outros
comprei desinfetante,Casa
"conta de conta de luz R$37,70",Casa
"PRESENTE PRA CHÁ DE BEBÊ 50,25",Outros
"ASSINATURA PLANO MÓVEL 79,75",Assinaturas
feira do mês,Alimentação
"comprei escape room R$65,99",Lazer
"plano mensal Nintendo Online R$27,99",Assinaturas
manutenção da mesa,Casa
"material de lápis 29,80",Educação
comprei calça,Vestuário
GASOLINA 80 REAIS,Transporte
"Reforma 32,99",Casa
casaco,Vestuário
renovação Disney+,Assinaturas
"hotel 130,30",Lazer
VIAGEM,Lazer
"entretenimento R$ 12,20",Lazer
"conserto R$ 14,75",Casa
gasto com celular 59.99,Outros
dividi conta do jantar,Alimentação
CHINELO NOVO,Vestuário
plano Vivo R$600,Assinaturas
"sorvete 69,20",Alimentação
comprei idioma R$45,Educação
Xbox Game Pass,Assinaturas
Escola de idiomas 80.75,Educação
game,Lazer
"workshop 19,90",Educação
gasolina,Transporte
esparadrapo,Saúde
MENSALIDADE REFORÇO ESCOLAR,Educação
Diversão 200 reais,Lazer
boleto de movel 65.40,Casa
paguei cursinho pré-vestibular 30.90,Educação
Paguei fisk r$150,Educação
renovação OneDrive,Assinaturas
entretenimento,Lazer
anuidade HBO Max,Assinaturas
"boleto do fogao 129,25",Casa
cartão de transporte da semana,Transporte
regata na H&M,Vestuário
conserto do mesada 150.20,Outros
infração,Outros
plano OneDrive,Assinaturas
combustível 75.30,Transporte
"assinei professor particular R$89,60",Educação
"boleto do energia R$ 45,50",Casa
cobrou Office 365,Assinaturas
RENOVEI ICLOUD 2000,Assinaturas
paguei emprestei dinheiro,Outros
MATRÍCULA NO CURSO,Educação
antibiótico,Saúde
comprei tarifa,Outros
comprei mensalidade universitária,Educação
"despesa com câmera 150,10",Outros
Assinatura do headspace,Assinaturas
"Estacionamento 49,80",Transporte
Disney Plus,Assinaturas
"Uber Pool pra casa R$35,75",Transporte
manutenção da esgoto,Casa
mesada,Outros
"conserto do consultório veterinário r$ 85,60",Outros
diversão,Lazer
comprei telhado 15.40,Casa
paguei notario,Outros
Plano telecine 70 reais,Assinaturas
"Plano anual google one 10,75",Assinaturas
cobrou Photoshop,Assinaturas
"delivery smoothie r$22,75",Alimentação
assinatura do clube de assinatura,Assinaturas
comprei calça jeans,Vestuário
mecanico pro trabalho,Transporte
"comprei computador 99,99",Outros
seguro da casa para a casa,Casa
Compras de roupa 119.99,Vestuário
futebol com a familia 99.10,Lazer
"Disney plus r$5,20",Assinaturas
IR para aniversário,Outros
"passagem de metro r$ 20,00",Transporte
Comprei remédio pet,Outros
rancho 700 reais,Alimentação
PAGUEI WIZARD,Educação
"pilates 29,70",Saúde
"remédio da ótica 10,25",Saúde
"matrícula no curso 15,00",Educação
vestido nova 29.60,Vestuário
"loja de roupa R$ 59,99",Vestuário
processo do mês 800 reais,Outros
mensalidade Steam,Assinaturas
"REMÉDIO PET IMPREVISTO R$ 90,25",Outros
água,Casa
dedetização mensal 90.40,Casa
estacionei,Transporte
"mercado 800,00",Alimentação
paguei a creme,Saúde
Loja de roupa,Vestuário
comprei seringa,Saúde
plantas,Casa
Yoga,Saúde
"diversão R$29,99",Lazer
CONSULTA COM ÓTICA 15,Saúde
comprei presente de aniversario,Outros
assinatura do google drive,Assinaturas
comprei Riachuelo,Vestuário
comprei roupa de academia na Renner 110.70,Vestuário
"diversao 24,60",Lazer
combustível,Transporte
comprei cabo 75.25,Outros
compras de roupa r$300,Vestuário
CORRIDA DE REVISÃO DO CARRO,Transporte
"paguei tapete 85,75",Casa
GASTO COM CABO,Outros
CLARO,Assinaturas
passagem aérea pra casa,Transporte
internet,Assinaturas
"paguei a suplemento R$ 90,60",Saúde
"assinei tutoria R$29,90",Educação
Trem pro trabalho,Transporte
"paguei advogado 17,30",Outros
COMPRAS DO MÊS 8,Alimentação
passagem aérea,Transporte
"honorário R$ 39,70",Outros
"manutenção 60,00",Casa
DIVIDI CONTA DO CAIPIRINHA,Alimentação
comprei polo,Vestuário
"iPhone para aniversário R$69,50",Outros
"aula de concurso público r$80,90",Educação
"consulta com clinica R$ 19,30",Saúde
assinei show,Lazer
bermuda na C&A 45.99,Vestuário
"matrícula 80,40",Educação
BRT de volta,Transporte
"ipva imprevisto r$ 120,99",Outros
"MATERIAL DE CCAA R$37,10",Educação
conserto do banho e tosa,Outros
"LOJA DE ROUPA 129,80",Vestuário
"corrida R$17,80",Transporte
comprei sutiã,Vestuário
TELHADO PARA A CASA,Casa
"Estacionamento r$ 70,25",Transporte
almocei no bar,Alimentação
RENOVEI SPOTIFY,Assinaturas
"viagem para interior 149,10",Lazer
terapeuta mensal,Saúde
viagem para serra 90 reais,Lazer
"receita médica R$95,25",Saúde
aviao pro trabalho 25.80,Transporte
comprei roupa de dormir,Vestuário
"Mensalidade upa r$32,40",Saúde
ingresso do brinquedo 1500,Lazer
mensalidade Epic Games,Assinaturas
"material de CRM R$65,10",Educação
comprei notário 800 reais,Outros
Manutenção r$150,Casa
"despesa com doação 29,20",Outros
matrícula 600 reais,Educação
lanche da tarde R$ 12,Alimentação
"boleto de ferramentas R$32,50",Casa
"mensalidade idioma r$90,90",Educação
Renovei duolingo plus 59.50,Assinaturas
"corrida de yellow 30,80",Transporte
"hospedagem r$ 900,00",Lazer
RELÓGIO,Vestuário
workshop 75.90,Educação
Energético no shopping,Alimentação
mesa,Casa
Assinei livro,Lazer
assinatura do plano de internet,Assinaturas
mensalidade terapia,Saúde
COMPREI IDIOMA,Educação
presente de aniversário para formatura,Outros
combustivel pro trabalho,Transporte
Conta do minimercado,Alimentação
"consulta com óculos R$ 250,00",Saúde
"manutenção da reforma R$ 55,40",Casa
"anuidade Globoplay R$14,60",Assinaturas
Cobrou expressvpn,Assinaturas
"roupas 27,40",Vestuário
Assinei hospedagem,Lazer
Assinatura do xbox game pass,Assinaturas
comprei blusa,Vestuário
Fui na ressonância,Saúde
abasteci 12,Transporte
"COMPRAS DE ROUPA 140,70",Vestuário
MENSALIDADE OFFICE 365 69.75,Assinaturas
receita médica,Saúde
vestido,Vestuário
plano mensal Netflix,Assinaturas
"SAÍDA R$20,99",Lazer
Mensalidade deezer,Assinaturas
Manutenção da mesa 500,Casa
COMPREI SUNGA R$ 50,Vestuário
hotel 120,Lazer
"jantei fora R$ 99,50",Alimentação
comprei conserto,Outros
"diversão R$ 49,20",Lazer
SMOOTHIE PRA HOJE,Alimentação
fui na raio-x,Saúde
paguei água,Casa
"hospedagem 14,25",Lazer
Gol pra casa 47.10,Transporte
cursinho pré-vestibular 119.20,Educação
"gasolina R$ 35,40",Transporte
taxa bancária para casamento 2500 reais,Outros
PILATES,Saúde
peguei combustível,Transporte
Mensalidade da mensalidade escolar,Educação
Paguei tarifa,Outros
Lanche da tarde 49.75,Alimentação
paguei doação 20 reais,Outros
paguei a consulta,Saúde
"entretenimento 17,25",Lazer
Disney plus,Assinaturas
"pedi lanche no delivery R$49,99",Alimentação
saída,Lazer
peguei seguro do carro,Transporte
reforma,Casa
Netflix,Assinaturas
mensalidade clínica 80,Saúde
gasto com doação 130.75,Outros
Peguei onibus,Transporte
"pijama na Riachuelo R$ 85,25",Vestuário
conta de sofá,Casa
paguei móvel,Casa
workshop,Educação
"renovei antivírus R$ 89,70",Assinaturas
assinei mensalidade universitária,Educação
"whey da semana R$9,10",Saúde
energético no supermercado,Alimentação
"delivery 17,40",Alimentação
CERTIFICAÇÃO R$700,Educação
"lanche da tarde R$ 75,25",Alimentação
"matrícula no curso R$119,90",Educação
"SESSÃO DE CINEMA COM AMIGOS 50,40",Lazer
"paguei banho e tosa R$ 80,30",Outros
"Jantei fora r$ 69,60",Alimentação
bolsa novo r$900,Vestuário
"Exame no laboratório r$ 37,25",Saúde
"roupas 60,25",Vestuário
Azul pra casa,Transporte
plano mensal disney plus,Assinaturas
PLANO MENSAL NORDVPN,Assinaturas
BANHO E TOSA,Outros
CERTIFICAÇÃO 32.70,Educação
café da manhã 15.60,Alimentação
tablet para casamento,Outros
"NOTEBOOK IMPREVISTO R$ 100,30",Outros
paguei evento profissional,Educação
"Vestido 89,30",Vestuário
"paguei DIO 89,99",Educação
comprei telhado,Casa
"rancho 27,90",Alimentação
medico da semana,Saúde
comprei prova 500,Educação
assinatura do Google Drive,Assinaturas
"gasto com material de escritório 139,50",Outros
presente pra chá de bebê,Outros
Workshop,Educação
comprei lenço,Vestuário
"Unidas R$ 50,60",Transporte
"receita médica R$ 35,80",Saúde
99 de volta,Transporte
compras de roupa 30,Vestuário
comprei mercado 39.40,Alimentação
renovação Amazon Prime,Assinaturas
matrícula no curso,Educação
"TROCA DE ÓLEO 60,70",Transporte
manteiga no feira,Alimentação
paguei botijão de gás,Casa
"passagem de 99pop r$ 69,25",Transporte
"comprei caipirinha 95,80",Alimentação
comprei imposto de renda,Outros
"fim de semana R$ 49,30",Lazer
material de cursinho pré-vestibular 42.75,Educação
manutenção para natal,Outros
conserto,Casa
Plano claro 80.90,Assinaturas
exame,Saúde
mensalidade curativo 10,Saúde
"borracheiro de volta R$ 32,25",Transporte
"Conta do drinque r$ 400,00",Alimentação
paguei a seringa 85.80,Saúde
assinatura do Globoplay 49.40,Assinaturas
comprei apostila,Educação
camiseta R$500,Vestuário
CONSULTA,Saúde
manteiga pra hoje,Alimentação
plano Globoplay R$ 60,Assinaturas
plano mensal kaspersky,Assinaturas
comprei tour,Lazer
Estacionei,Transporte
paguei imposto,Outros
anuidade Apple Music,Assinaturas
FEIRA DO MÊS,Alimentação
Análises clínicas mensal,Saúde
ESTACIONEI,Transporte
"Comprei boliche r$ 30,80",Lazer
ADVOGADO IMPREVISTO,Outros
Fim de semana,Lazer
"conserto do celular 119,75",Outros
Puma,Vestuário
loja de roupa R$ 90,Vestuário
"MINIMERCADO 27,80",Alimentação
material de construção,Casa
fui na seringa 200 reais,Saúde
Renovei plano de celular 59.60,Assinaturas
"anuidade cartão imprevisto R$ 45,20",Outros
Assinei estádio,Lazer
MATERIAL DE CONSTRUÇÃO,Casa
"lanche da tarde 75,25",Alimentação
mecânico pro trabalho,Transporte
taxa de condomínio,Casa
Puma na zara,Vestuário
torta no restaurante,Alimentação
Claro TV,Casa
paguei DIO,Educação
Duolingo Plus,Assinaturas
mensalidade adobe creative cloud,Assinaturas
"óculos de sol 69,50",Vestuário
"almocei no mercado R$ 300,00",Alimentação
assinatura do Disney+,Assinaturas
gasolina pro trabalho,Transporte
"matrícula no curso R$ 55,30",Educação
"estacionamento R$ 55,30",Transporte
"CONSULTA MÉDICA DA SEMANA 30,80",Saúde
paguei mensalidade universitária,Educação
corrida de ônibus interestadual,Transporte
estacionamento 45 reais,Transporte
conserto,Casa
renovação Office 365,Assinaturas
comprei esgoto,Casa
compras do mes 70.80,Alimentação
sunga,Vestuário
café,Alimentação
ROUPA DE DORMIR,Vestuário
"boleto do quadro 800,00",Casa
comprei uniforme na Riachuelo 75.80,Vestuário
cobrou ExpressVPN,Assinaturas
Conserto do reparo,Outros
"almocei no food truck 119,90",Alimentação
"feira do mes R$49,70",Alimentação
"receita médica 2000,00",Saúde
renovaçao plano de celular,Assinaturas
matrícula no curso,Educação
fui na consulta médica,Saúde
FUI NA WHEY,Saúde
hospedagem 45 reais,Lazer
ALMOCEI NO BAR,Alimentação
certificação,Educação
paguei material de escritorio,Outros
SMARTPHONE 140.40,Outros
COMPREI PÓS-GRADUAÇÃO,Educação
abasteci o carro,Transporte
"assinei espanhol R$ 32,10",Educação
smartphone para natal,Outros
consulta com antibiotico,Saúde
comprei sutiã,Vestuário
"compras de roupa r$ 40,20",Vestuário
"boleto do faxineira R$70,75",Casa
"gasto com imposto 110,90",Outros
"manutenção 150,00",Casa
academia mensal 120.70,Saúde
"plano anual OneDrive R$ 35,99",Assinaturas
"conta do salgado R$5,75",Alimentação
"mensalidade material para curso 1000,00",Educação
certificaçao R$ 120,Educação
"aluguel de carro 69,50",Transporte
"pet 300,00",Outros
"Amazon Prime Video 8,00",Assinaturas
mensalidade ExpressVPN,Assinaturas
"FUI NA CONSULTA DENTISTA 99,99",Saúde
boleto do cama 3000,Casa
"mensalidade pronto-socorro 100,00",Saúde
Loja de roupa r$180,Vestuário
conta de tv por assinatura 40,Casa
Loja de roupa,Vestuário
dividi conta do Bob's,Alimentação
"presente pra aniversário R$ 42,60",Outros
troca de óleo 140.80,Transporte
assinei CNA 400,Educação
IPVA pra casa,Transporte
"anuidade Netflix R$ 18,00",Assinaturas
"comprei IPTU 70,80",Outros
matrícula,Educação
Assinei cursinho pré-vestibular,Educação
"Calça r$9,90",Vestuário
"ração imprevisto R$ 80,00",Outros
"saque imprevisto r$ 60,75",Outros
Assinei xbox,Lazer
"norton 400,00",Assinaturas
"Delivery mercado r$35,10",Alimentação
assinatura do Amazon,Assinaturas
remédio da análises clínicas 40 reais,Saúde
mensalidade otica,Saúde
mensalidade clube de assinatura,Assinaturas
conserto 2000 reais,Casa
salgado pra hoje,Alimentação
"comprei psiquiatra R$14,10",Saúde
"geladeira do mês R$140,10",Casa
"frango R$ 32,90",Alimentação
"Consulta com remédio r$19,60",Saúde
diversão 17.20,Lazer
hortifruti no supermercado,Alimentação
cobrou Canva Pro 150.40,Assinaturas
PEDI OVO NO DELIVERY,Alimentação
sapato na shopping,Vestuário
"matrícula R$80,75",Educação
Taxi pro trabalho,Transporte
comprei esporte,Lazer
ingresso do livro,Lazer
consulta com gym,Saúde
dividi conta do sushi,Alimentação
"Plano anual banda larga r$70,70",Assinaturas
"Doutorado r$69,25",Educação
manutençao da gas R$5,Casa
diversao,Lazer
MANUTENÇÃO DA PAPEL HIGIÊNICO 8.80,Casa
"renovação Google One R$130,50",Assinaturas
paguei anuidade cartão,Outros
"ingresso pro turismo 5,25",Lazer
"Saída r$ 10,40",Lazer
comprei pet shop,Outros
hospedagem 85.90,Lazer
CAFÉ DA MANHÃ 150,Alimentação
conserto,Casa
Tv por assinatura,Casa
COBROU EXPRESSVPN,Assinaturas
mestrado,Educação
comprei micro-ondas,Casa
paguei a clínica,Saúde
"consulta com lente de contato 99,60",Saúde
"mensalidade concurso público r$ 800,00",Educação
Compras da semana,Alimentação
"pilates 55,90",Saúde
"renovei Amazon Prime Video R$149,99",Assinaturas
calm,Assinaturas
Comprei jardinagem,Casa
"boleto do aluguel da casa R$30,40",Casa
comprei curso online,Educação
VERDURA,Alimentação
hospedagem 49.30,Lazer
"gasto com honorário R$ 60,30",Outros
"Material de idioma 55,99",Educação
drinque no mall,Alimentação
"CONSERTO R$140,70",Casa
salto nova 49.20,Vestuário
passagem,Transporte
FUI AO DISNEY+,Lazer
PAGUEI DECORAÇÃO 2500,Casa
"assinatura do VPN R$40,70",Assinaturas
RANCHO 75.75,Alimentação
jantei fora,Alimentação
DESPESA COM IPVA,Outros
"Exame no laboratório 180,00",Saúde
comprei multa 12 reais,Outros
"TARIFA IMPREVISTO R$ 32,70",Outros
Jantei fora 20.50,Alimentação
"cobrou Notion R$100,75",Assinaturas
"Conserto do celular 30,50",Outros
par de lingerie,Vestuário
IR para casamento,Outros
esparadrapo da semana,Saúde
Aula de exame,Educação
anuidade Telecine,Assinaturas
"matrícula no curso R$30,99",Educação
"NOTION R$ 29,25",Assinaturas
roupas,Vestuário
MATERIAL DE WIZARD,Educação
"Comprei c&a 45,30",Vestuário
assinei alemão,Educação
parque de diversões com amigos,Lazer
"renovação Claro 99,25",Assinaturas
"patinete 59,20",Transporte
pedágio de volta,Transporte
fui na band-aid,Saúde
abasteci,Transporte
"corrida R$ 25,40",Transporte
"almocei no mercado 25,00",Alimentação
"WORKSHOP R$ 60,30",Educação
"roupas R$ 12,20",Vestuário
MENSALIDADE DA PROVA,Educação
cobrou Xbox Game Pass,Assinaturas
renovação iCloud 9.75,Assinaturas
"conta do café expresso 17,30",Alimentação
Pochete na h&m,Vestuário
paguei cursinho pré-vestibular,Educação
medicamento da semana,Saúde
multa do mês 129.70,Outros
compras de roupa 15.80,Vestuário
Assinei mba,Educação
hbo max,Assinaturas
peguei pedagio,Transporte
"PASSEIO 350,00",Lazer
COMPREI MULTA,Outros
Paguei a consulta r$ 3000,Saúde
"hospedagem R$49,10",Lazer
passeio R$ 25,Lazer
"papel higiênico mensal R$ 45,70",Casa
paguei IPVA,Outros
"consulta com plano de saude R$ 27,70",Saúde
FESTA,Lazer
cabo 17.20,Outros
"ingresso pro hotel R$ 800,00",Lazer
"mensalidade loção R$59,20",Saúde
Consulta com exame de sangue r$ 25,Saúde
"entretenimento R$ 10,70",Lazer
Conserto,Casa
"terapia mensal R$ 10,90",Saúde
"imposto predial mensal R$ 25,30",Casa
"comprei jogos no Steam R$85,90",Lazer
comprei régua 139.25,Educação
"loja de roupa R$ 39,70",Vestuário
"cobrou Google One R$ 100,50",Assinaturas
BOLETO DO GÁS,Casa
mensalidade remédio 9.60,Saúde
workshop 20.99,Educação
"certificaçao 42,10",Educação
"99pop da semana 45,99",Transporte
"troca de óleo R$ 80,00",Transporte
Exame no laboratório,Saúde
comprei banho e tosa,Outros
"ASSINEI COLÉGIO 600,00",Educação
PATINETE PRA CASA R$ 600,Transporte
"lanche da tarde 85,80",Alimentação
PEDI UBER EATS NO DELIVERY,Alimentação
Vestido,Vestuário
"lanche da tarde R$ 24,99",Alimentação
assinei parque de diversões,Lazer
boleto do luz,Casa
"estacionei r$59,70",Transporte
"Zara na C&A 50,50",Vestuário
assinei laser tag,Lazer
paguei a pilates 5.20,Saúde
viagem 130.60,Lazer
"EXAME NO LABORATÓRIO 120,50",Saúde
plano mensal Calm R$1500,Assinaturas
mensalidade da régua 49.30,Educação
